Network,time,5-20 mins,20-60 mins,1-6 hrs,6+ hrs
Sovereign Centre - wireless,15 Jun 2017 00:00:00,1277.00,818.00,271.00,56.00
Sovereign Centre - wireless,16 Jun 2017 00:00:00,1629.00,1169.00,445.00,63.00
Sovereign Centre - wireless,17 Jun 2017 00:00:00,1359.00,997.00,368.00,46.00
Sovereign Centre - wireless,18 Jun 2017 00:00:00,1082.00,711.00,349.00,36.00
Sovereign Centre - wireless,19 Jun 2017 00:00:00,1069.00,739.00,338.00,46.00
Sovereign Centre - wireless,20 Jun 2017 00:00:00,1265.00,835.00,354.00,52.00
Sovereign Centre - wireless,21 Jun 2017 00:00:00,1321.00,816.00,323.00,49.00
