Network,time,First time,Daily,Weekly,Occasional
Sovereign Centre - wireless,15 Jun 2017 00:00:00,991.00,313.00,999.00,119.00
Sovereign Centre - wireless,16 Jun 2017 00:00:00,1495.00,301.00,1348.00,162.00
Sovereign Centre - wireless,17 Jun 2017 00:00:00,1063.00,318.00,1235.00,154.00
Sovereign Centre - wireless,18 Jun 2017 00:00:00,1167.00,181.00,686.00,144.00
Sovereign Centre - wireless,19 Jun 2017 00:00:00,870.00,304.00,905.00,113.00
Sovereign Centre - wireless,20 Jun 2017 00:00:00,963.00,330.00,1049.00,164.00
Sovereign Centre - wireless,21 Jun 2017 00:00:00,846.00,353.00,1031.00,279.00
